index	Ontology	GO id	GO term	value	pval	qval
3787	BP	GO:0014850	response to muscle activity	23	1.0	1.0
3788	BP	GO:0002293	alpha-beta T cell differentiation involved in immune response	26	1.0	1.0
3789	BP	GO:0072318	clathrin coat disassembly	7	1.0	1.0
3790	BP	GO:0001660	fever generation	3	1.0	1.0
3791	BP	GO:0006722	triterpenoid metabolic process	2	1.0	1.0
3792	BP	GO:0099040	ceramide translocation	2	1.0	1.0
3793	BP	GO:1905890	regulation of cellular response to very-low-density lipoprotein particle stimulus	1	1.0	1.0
3794	BP	GO:0006278	RNA-dependent DNA biosynthetic process	23	1.0	1.0
3795	BP	GO:0033137	negative regulation of peptidyl-serine phosphorylation	22	1.0	1.0
3796	BP	GO:1905782	positive regulation of phosphatidylserine exposure on apoptotic cell surface	1	1.0	1.0
3797	BP	GO:0010962	regulation of glucan biosynthetic process	25	1.0	1.0
3798	BP	GO:0009200	deoxyribonucleoside triphosphate metabolic process	13	1.0	1.0
3799	BP	GO:0033173	calcineurin-NFAT signaling cascade	13	1.0	1.0
3800	BP	GO:0150033	negative regulation of protein localization to lysosome	1	1.0	1.0
3801	BP	GO:0051593	response to folic acid	10	1.0	1.0
3802	BP	GO:0006189	'de novo' IMP biosynthetic process	6	1.0	1.0
3803	BP	GO:0032515	negative regulation of phosphoprotein phosphatase activity	22	1.0	1.0
3804	BP	GO:0071470	cellular response to osmotic stress	39	1.0	1.0
3805	BP	GO:2000656	regulation of apolipoprotein binding	1	1.0	1.0
3806	BP	GO:0061348	planar cell polarity pathway involved in ventricular septum morphogenesis	1	1.0	1.0
3807	BP	GO:1904032	regulation of t-SNARE clustering	1	1.0	1.0
3808	BP	GO:0016056	rhodopsin mediated signaling pathway	4	1.0	1.0
3809	BP	GO:0035722	interleukin-12-mediated signaling pathway	9	1.0	1.0
3810	BP	GO:0042421	norepinephrine biosynthetic process	5	1.0	1.0
3811	BP	GO:1903598	positive regulation of gap junction assembly	6	1.0	1.0
3812	BP	GO:0045108	regulation of intermediate filament polymerization or depolymerization	1	1.0	1.0
3813	BP	GO:0009155	purine deoxyribonucleotide catabolic process	8	1.0	1.0
3814	BP	GO:0071830	triglyceride-rich lipoprotein particle clearance	6	1.0	1.0
3815	BP	GO:0097185	cellular response to azide	1	1.0	1.0
3816	BP	GO:0006685	sphingomyelin catabolic process	4	1.0	1.0
3817	BP	GO:0071848	positive regulation of ERK1 and ERK2 cascade via TNFSF11-mediated signaling	2	1.0	1.0
3818	BP	GO:1990641	response to iron ion starvation	2	1.0	1.0
3819	BP	GO:0010901	regulation of very-low-density lipoprotein particle remodeling	6	1.0	1.0
3820	BP	GO:0051090	regulation of DNA-binding transcription factor activity	370	1.0	1.0
3821	BP	GO:1900119	positive regulation of execution phase of apoptosis	5	1.0	1.0
3822	BP	GO:0045637	regulation of myeloid cell differentiation	167	1.0	1.0
3823	BP	GO:0032446	protein modification by small protein conjugation	547	1.0	1.0
3824	BP	GO:0010807	regulation of synaptic vesicle priming	7	1.0	1.0
3825	BP	GO:0006970	response to osmotic stress	61	1.0	1.0
3826	BP	GO:1905314	semi-lunar valve development	5	1.0	1.0
3827	BP	GO:0110114	negative regulation of lipid transporter activity	1	1.0	1.0
3828	BP	GO:0034134	toll-like receptor 2 signaling pathway	6	1.0	1.0
3829	BP	GO:1901658	glycosyl compound catabolic process	25	1.0	1.0
3830	BP	GO:2000193	positive regulation of fatty acid transport	20	1.0	1.0
3831	BP	GO:0021870	Cajal-Retzius cell differentiation	2	1.0	1.0
3832	BP	GO:0046037	GMP metabolic process	24	1.0	1.0
3833	BP	GO:0036269	swimming behavior	2	1.0	1.0
3834	BP	GO:0002312	B cell activation involved in immune response	48	1.0	1.0
3835	BP	GO:0048023	positive regulation of melanin biosynthetic process	10	1.0	1.0
3836	BP	GO:0030036	actin cytoskeleton organization	265	1.0	1.0
3837	BP	GO:0098930	axonal transport	52	1.0	1.0
3838	BP	GO:0032341	aldosterone metabolic process	5	1.0	1.0
3839	BP	GO:0003358	noradrenergic neuron development	3	1.0	1.0
3840	BP	GO:0032964	collagen biosynthetic process	6	1.0	1.0
3841	BP	GO:0070192	chromosome organization involved in meiotic cell cycle	48	1.0	1.0
3842	BP	GO:0002769	natural killer cell inhibitory signaling pathway	2	1.0	1.0
3843	BP	GO:0009126	purine nucleoside monophosphate metabolic process	38	1.0	1.0
3844	BP	GO:0032988	ribonucleoprotein complex disassembly	5	1.0	1.0
3845	BP	GO:0120054	intestinal motility	1	1.0	1.0
3846	BP	GO:0018002	N-terminal peptidyl-glutamic acid acetylation	1	1.0	1.0
3847	BP	GO:0014832	urinary bladder smooth muscle contraction	7	1.0	1.0
3848	BP	GO:0086019	cell-cell signaling involved in cardiac conduction	5	1.0	1.0
3849	BP	GO:0051953	negative regulation of amine transport	25	1.0	1.0
3850	BP	GO:0070932	histone H3 deacetylation	5	1.0	1.0
3851	BP	GO:1902104	positive regulation of metaphase/anaphase transition of meiotic cell cycle	1	1.0	1.0
3852	BP	GO:0090232	positive regulation of spindle checkpoint	12	1.0	1.0
3853	BP	GO:1903634	negative regulation of leucine-tRNA ligase activity	1	1.0	1.0
3854	BP	GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	23	1.0	1.0
3855	BP	GO:0000212	meiotic spindle organization	17	1.0	1.0
3856	BP	GO:0090164	asymmetric Golgi ribbon formation	2	1.0	1.0
3857	BP	GO:0060155	platelet dense granule organization	23	1.0	1.0
3858	BP	GO:0016233	telomere capping	10	1.0	1.0
3859	BP	GO:0001555	oocyte growth	3	1.0	1.0
3860	BP	GO:0045792	negative regulation of cell size	8	1.0	1.0
3861	BP	GO:0050891	multicellular organismal water homeostasis	47	1.0	1.0
3862	BP	GO:0001542	ovulation from ovarian follicle	8	1.0	1.0
3863	BP	GO:2000880	positive regulation of dipeptide transport	2	1.0	1.0
3864	BP	GO:0070365	hepatocyte differentiation	12	1.0	1.0
3865	BP	GO:2000572	positive regulation of interleukin-4-dependent isotype switching to IgE isotypes	1	1.0	1.0
3866	BP	GO:0002416	IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor	1	1.0	1.0
3867	BP	GO:0090246	convergent extension involved in somitogenesis	1	1.0	1.0
3868	BP	GO:0030071	regulation of mitotic metaphase/anaphase transition	87	1.0	1.0
3869	BP	GO:0032252	secretory granule localization	9	1.0	1.0
3870	BP	GO:0060272	embryonic skeletal joint morphogenesis	6	1.0	1.0
3871	BP	GO:0002573	myeloid leukocyte differentiation	111	1.0	1.0
3872	BP	GO:0140650	radial glia-guided pyramidal neuron migration	6	1.0	1.0
3873	BP	GO:0060382	regulation of DNA strand elongation	16	1.0	1.0
3874	BP	GO:0051570	regulation of histone H3-K9 methylation	7	1.0	1.0
3875	BP	GO:1905445	positive regulation of clathrin coat assembly	2	1.0	1.0
3876	BP	GO:0000281	mitotic cytokinesis	56	1.0	1.0
3877	BP	GO:0035912	dorsal aorta morphogenesis	8	1.0	1.0
3878	BP	GO:0060982	coronary artery morphogenesis	5	1.0	1.0
3879	BP	GO:1900133	regulation of renin secretion into blood stream	3	1.0	1.0
3880	BP	GO:0032400	melanosome localization	21	1.0	1.0
3881	BP	GO:0033386	geranylgeranyl diphosphate biosynthetic process	1	1.0	1.0
3882	BP	GO:0033696	negative regulation of extent of heterochromatin assembly	2	1.0	1.0
3883	BP	GO:0051799	negative regulation of hair follicle development	5	1.0	1.0
3884	BP	GO:0046208	spermine catabolic process	2	1.0	1.0
3885	BP	GO:0070836	caveola assembly	4	1.0	1.0
3886	BP	GO:0021903	rostrocaudal neural tube patterning	3	1.0	1.0
3887	BP	GO:1904938	planar cell polarity pathway involved in axon guidance	3	1.0	1.0
3888	BP	GO:0071384	cellular response to corticosteroid stimulus	53	1.0	1.0
3889	BP	GO:0061842	microtubule organizing center localization	28	1.0	1.0
3890	BP	GO:1901340	negative regulation of store-operated calcium channel activity	1	1.0	1.0
3891	BP	GO:0006965	positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria	1	1.0	1.0
3892	BP	GO:2000452	regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation	2	1.0	1.0
3893	BP	GO:0071586	CAAX-box protein processing	2	1.0	1.0
3894	BP	GO:0033344	cholesterol efflux	23	1.0	1.0
3895	BP	GO:0046173	polyol biosynthetic process	46	1.0	1.0
3896	BP	GO:1902019	regulation of cilium-dependent cell motility	17	1.0	1.0
3897	BP	GO:0019348	dolichol metabolic process	5	1.0	1.0
3898	BP	GO:1900163	positive regulation of phospholipid scramblase activity	1	1.0	1.0
3899	BP	GO:1901003	negative regulation of fermentation	2	1.0	1.0
3900	BP	GO:0060842	arterial endothelial cell differentiation	2	1.0	1.0
3901	BP	GO:2000320	negative regulation of T-helper 17 cell differentiation	9	1.0	1.0
3902	BP	GO:0002767	immune response-inhibiting cell surface receptor signaling pathway	8	1.0	1.0
3903	BP	GO:1900273	positive regulation of long-term synaptic potentiation	17	1.0	1.0
3904	BP	GO:0048105	establishment of body hair planar orientation	2	1.0	1.0
3905	BP	GO:1905033	positive regulation of membrane repolarization during cardiac muscle cell action potential	1	1.0	1.0
3906	BP	GO:0032480	negative regulation of type I interferon production	35	1.0	1.0
3907	BP	GO:0071417	cellular response to organonitrogen compound	372	1.0	1.0
3908	BP	GO:0032717	negative regulation of interleukin-8 production	13	1.0	1.0
3909	BP	GO:1902166	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	14	1.0	1.0
3910	BP	GO:0042119	neutrophil activation	25	1.0	1.0
3911	BP	GO:0090110	COPII-coated vesicle cargo loading	15	1.0	1.0
3912	BP	GO:0061847	response to cholecystokinin	2	1.0	1.0
3913	BP	GO:2001051	positive regulation of tendon cell differentiation	1	1.0	1.0
3914	BP	GO:1902186	regulation of viral release from host cell	12	1.0	1.0
3915	BP	GO:0071908	determination of intestine left/right asymmetry	1	1.0	1.0
3916	BP	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	89	1.0	1.0
3917	BP	GO:0045348	positive regulation of MHC class II biosynthetic process	13	1.0	1.0
3918	BP	GO:2000317	negative regulation of T-helper 17 type immune response	10	1.0	1.0
3919	BP	GO:2000533	negative regulation of renal albumin absorption	1	1.0	1.0
3920	BP	GO:0035095	behavioral response to nicotine	9	1.0	1.0
3921	BP	GO:2000107	negative regulation of leukocyte apoptotic process	50	1.0	1.0
3922	BP	GO:0002064	epithelial cell development	106	1.0	1.0
3923	BP	GO:0019585	glucuronate metabolic process	15	1.0	1.0
3924	BP	GO:2000623	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	7	1.0	1.0
3925	BP	GO:0032692	negative regulation of interleukin-1 production	30	1.0	1.0
3926	BP	GO:0006378	mRNA polyadenylation	21	1.0	1.0
3927	BP	GO:0098658	inorganic anion import across plasma membrane	2	1.0	1.0
3928	BP	GO:0002514	B cell tolerance induction	1	1.0	1.0
3929	BP	GO:0009216	purine deoxyribonucleoside triphosphate biosynthetic process	1	1.0	1.0
3930	BP	GO:1904556	L-tryptophan transmembrane transport	1	1.0	1.0
3931	BP	GO:0070734	histone H3-K27 methylation	5	1.0	1.0
3932	BP	GO:0016487	farnesol metabolic process	2	1.0	1.0
3933	BP	GO:1903747	regulation of establishment of protein localization to mitochondrion	45	1.0	1.0
3934	BP	GO:2000404	regulation of T cell migration	42	1.0	1.0
3935	BP	GO:0001879	detection of yeast	2	1.0	1.0
3936	BP	GO:0032375	negative regulation of cholesterol transport	12	1.0	1.0
3937	BP	GO:1990611	regulation of cytoplasmic translational initiation in response to stress	1	1.0	1.0
3938	BP	GO:0016579	protein deubiquitination	117	1.0	1.0
3939	BP	GO:0038190	VEGF-activated neuropilin signaling pathway	1	1.0	1.0
3940	BP	GO:1902894	negative regulation of pri-miRNA transcription by RNA polymerase II	24	1.0	1.0
3941	BP	GO:0060019	radial glial cell differentiation	11	1.0	1.0
3942	BP	GO:0034157	positive regulation of toll-like receptor 7 signaling pathway	4	1.0	1.0
3943	BP	GO:0086042	cardiac muscle cell-cardiac muscle cell adhesion	7	1.0	1.0
3944	BP	GO:0046048	UDP metabolic process	6	1.0	1.0
3945	BP	GO:1904933	regulation of cell proliferation in midbrain	1	1.0	1.0
3946	BP	GO:0048619	embryonic hindgut morphogenesis	1	1.0	1.0
3947	BP	GO:0099514	synaptic vesicle cytoskeletal transport	15	1.0	1.0
3948	BP	GO:1902991	regulation of amyloid precursor protein catabolic process	39	1.0	1.0
3949	BP	GO:0003199	endocardial cushion to mesenchymal transition involved in heart valve formation	2	1.0	1.0
3950	BP	GO:1905516	positive regulation of fertilization	1	1.0	1.0
3951	BP	GO:0042420	dopamine catabolic process	6	1.0	1.0
3952	BP	GO:0032488	Cdc42 protein signal transduction	9	1.0	1.0
3953	BP	GO:0046520	sphingoid biosynthetic process	14	1.0	1.0
3954	BP	GO:0019430	removal of superoxide radicals	12	1.0	1.0
3955	BP	GO:1904862	inhibitory synapse assembly	13	1.0	1.0
3956	BP	GO:0032713	negative regulation of interleukin-4 production	6	1.0	1.0
3957	BP	GO:0045576	mast cell activation	22	1.0	1.0
3958	BP	GO:0061614	pri-miRNA transcription by RNA polymerase II	1	1.0	1.0
3959	BP	GO:0061621	canonical glycolysis	18	1.0	1.0
3960	BP	GO:1904435	regulation of transferrin receptor binding	1	1.0	1.0
3961	BP	GO:0019310	inositol catabolic process	1	1.0	1.0
3962	BP	GO:0019322	pentose biosynthetic process	2	1.0	1.0
3963	BP	GO:1905239	regulation of canonical Wnt signaling pathway involved in osteoblast differentiation	2	1.0	1.0
3964	BP	GO:0070650	actin filament bundle distribution	1	1.0	1.0
3965	BP	GO:0019659	glucose catabolic process to lactate	2	1.0	1.0
3966	BP	GO:0090155	negative regulation of sphingolipid biosynthetic process	6	1.0	1.0
3967	BP	GO:0001568	blood vessel development	102	1.0	1.0
3968	BP	GO:0097659	nucleic acid-templated transcription	396	1.0	1.0
3969	BP	GO:0060520	activation of prostate induction by androgen receptor signaling pathway	1	1.0	1.0
3970	BP	GO:0002188	translation reinitiation	2	1.0	1.0
3971	BP	GO:0010106	cellular response to iron ion starvation	1	1.0	1.0
3972	BP	GO:0016042	lipid catabolic process	213	1.0	1.0
3973	BP	GO:1902460	regulation of mesenchymal stem cell proliferation	5	1.0	1.0
3974	BP	GO:0045579	positive regulation of B cell differentiation	16	1.0	1.0
3975	BP	GO:0002408	myeloid dendritic cell chemotaxis	3	1.0	1.0
3976	BP	GO:0019401	alditol biosynthetic process	5	1.0	1.0
3977	BP	GO:0006309	apoptotic DNA fragmentation	7	1.0	1.0
3978	BP	GO:0016926	protein desumoylation	6	1.0	1.0
3979	BP	GO:0061113	pancreas morphogenesis	2	1.0	1.0
3980	BP	GO:0048332	mesoderm morphogenesis	5	1.0	1.0
3981	BP	GO:0071377	cellular response to glucagon stimulus	11	1.0	1.0
3982	BP	GO:0046165	alcohol biosynthetic process	90	1.0	1.0
3983	BP	GO:0032071	regulation of endodeoxyribonuclease activity	8	1.0	1.0
3984	BP	GO:0030576	Cajal body organization	2	1.0	1.0
3985	BP	GO:1902001	fatty acid transmembrane transport	12	1.0	1.0
3986	BP	GO:1902020	negative regulation of cilium-dependent cell motility	2	1.0	1.0
3987	BP	GO:0010884	positive regulation of lipid storage	17	1.0	1.0
3988	BP	GO:0070169	positive regulation of biomineral tissue development	42	1.0	1.0
3989	BP	GO:1903963	arachidonate transport	16	1.0	1.0
3990	BP	GO:0150079	negative regulation of neuroinflammatory response	12	1.0	1.0
3991	BP	GO:0035113	embryonic appendage morphogenesis	53	1.0	1.0
3992	BP	GO:0019230	proprioception	3	1.0	1.0
3993	BP	GO:0150076	neuroinflammatory response	12	1.0	1.0
3994	BP	GO:0006198	cAMP catabolic process	7	1.0	1.0
3995	BP	GO:0034227	tRNA thio-modification	3	1.0	1.0
3996	BP	GO:1904156	DN3 thymocyte differentiation	1	1.0	1.0
3997	BP	GO:0007224	smoothened signaling pathway	77	1.0	1.0
3998	BP	GO:0071225	cellular response to muramyl dipeptide	8	1.0	1.0
3999	BP	GO:0021549	cerebellum development	35	1.0	1.0
4000	BP	GO:0032656	regulation of interleukin-13 production	21	1.0	1.0
4001	BP	GO:0021660	rhombomere 3 formation	1	1.0	1.0
4002	BP	GO:0060421	positive regulation of heart growth	26	1.0	1.0
4003	BP	GO:0055018	regulation of cardiac muscle fiber development	1	1.0	1.0
4004	BP	GO:0043921	modulation by host of viral transcription	2	1.0	1.0
4005	BP	GO:1905492	positive regulation of branching morphogenesis of a nerve	2	1.0	1.0
4006	BP	GO:0060561	apoptotic process involved in morphogenesis	17	1.0	1.0
4007	BP	GO:0015858	nucleoside transport	1	1.0	1.0
4008	BP	GO:0051549	positive regulation of keratinocyte migration	10	1.0	1.0
4009	BP	GO:0008347	glial cell migration	21	1.0	1.0
4010	BP	GO:0036484	trunk neural crest cell migration	5	1.0	1.0
4011	BP	GO:0003417	growth plate cartilage development	7	1.0	1.0
4012	BP	GO:0035442	dipeptide transmembrane transport	2	1.0	1.0
4013	BP	GO:0106135	negative regulation of cardiac muscle cell contraction	1	1.0	1.0
4014	BP	GO:0060332	positive regulation of response to interferon-gamma	6	1.0	1.0
4015	BP	GO:0034616	response to laminar fluid shear stress	12	1.0	1.0
4016	BP	GO:0000712	resolution of meiotic recombination intermediates	14	1.0	1.0
4017	BP	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	17	1.0	1.0
4018	BP	GO:0043303	mast cell degranulation	18	1.0	1.0
4019	BP	GO:0002859	negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target	3	1.0	1.0
4020	BP	GO:1905221	positive regulation of platelet formation	2	1.0	1.0
4021	BP	GO:0032103	positive regulation of response to external stimulus	391	1.0	1.0
4022	BP	GO:0061901	regulation of 1-phosphatidylinositol-3-kinase activity	1	1.0	1.0
4023	BP	GO:0046415	urate metabolic process	8	1.0	1.0
4024	BP	GO:0032402	melanosome transport	19	1.0	1.0
4025	BP	GO:0032447	protein urmylation	3	1.0	1.0
4026	BP	GO:0045223	regulation of CD4 production	1	1.0	1.0
4027	BP	GO:1902219	negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress	4	1.0	1.0
4028	BP	GO:0030241	skeletal muscle myosin thick filament assembly	3	1.0	1.0
4029	BP	GO:1903977	positive regulation of glial cell migration	11	1.0	1.0
4030	BP	GO:1904843	cellular response to nitroglycerin	1	1.0	1.0
4031	BP	GO:0060135	maternal process involved in female pregnancy	27	1.0	1.0
4032	BP	GO:0010847	regulation of chromatin assembly	18	1.0	1.0
4033	BP	GO:0002086	diaphragm contraction	2	1.0	1.0
4034	BP	GO:1990418	response to insulin-like growth factor stimulus	3	1.0	1.0
4035	BP	GO:0098739	import across plasma membrane	99	1.0	1.0
4036	BP	GO:0036135	Schwann cell migration	3	1.0	1.0
4037	BP	GO:0036261	7-methylguanosine cap hypermethylation	8	1.0	1.0
4038	BP	GO:0002677	negative regulation of chronic inflammatory response	5	1.0	1.0
4039	BP	GO:0042368	vitamin D biosynthetic process	4	1.0	1.0
4040	BP	GO:0090168	Golgi reassembly	4	1.0	1.0
4041	BP	GO:0090045	positive regulation of deacetylase activity	5	1.0	1.0
4042	BP	GO:0032967	positive regulation of collagen biosynthetic process	20	1.0	1.0
4043	BP	GO:1903589	positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	7	1.0	1.0
4044	BP	GO:0060259	regulation of feeding behavior	24	1.0	1.0
4045	BP	GO:0071971	extracellular exosome assembly	1	1.0	1.0
4046	BP	GO:0043317	regulation of cytotoxic T cell degranulation	3	1.0	1.0
4047	BP	GO:0001553	luteinization	8	1.0	1.0
4048	BP	GO:1900452	regulation of long-term synaptic depression	8	1.0	1.0
4049	BP	GO:0061885	positive regulation of mini excitatory postsynaptic potential	1	1.0	1.0
4050	BP	GO:0043243	positive regulation of protein-containing complex disassembly	31	1.0	1.0
4051	BP	GO:0032014	positive regulation of ARF protein signal transduction	2	1.0	1.0
4052	BP	GO:0032202	telomere assembly	13	1.0	1.0
4053	BP	GO:0043409	negative regulation of MAPK cascade	142	1.0	1.0
4054	BP	GO:1904105	positive regulation of convergent extension involved in gastrulation	1	1.0	1.0
4055	BP	GO:0002314	germinal center B cell differentiation	7	1.0	1.0
4056	BP	GO:1901906	diadenosine pentaphosphate metabolic process	1	1.0	1.0
4057	BP	GO:0051342	regulation of cyclic-nucleotide phosphodiesterase activity	9	1.0	1.0
4058	BP	GO:0006090	pyruvate metabolic process	67	1.0	1.0
4059	BP	GO:0050812	regulation of acyl-CoA biosynthetic process	4	1.0	1.0
4060	BP	GO:1904864	negative regulation of beta-catenin-TCF complex assembly	2	1.0	1.0
4061	BP	GO:0090033	positive regulation of filamentous growth	1	1.0	1.0
4062	BP	GO:0099645	neurotransmitter receptor localization to postsynaptic specialization membrane	9	1.0	1.0
4063	BP	GO:0038162	erythropoietin-mediated signaling pathway	3	1.0	1.0
4064	BP	GO:0035510	DNA dealkylation	22	1.0	1.0
4065	BP	GO:0002274	myeloid leukocyte activation	127	1.0	1.0
4066	BP	GO:0021776	smoothened signaling pathway involved in spinal cord motor neuron cell fate specification	2	1.0	1.0
4067	BP	GO:1903772	regulation of viral budding via host ESCRT complex	3	1.0	1.0
4068	BP	GO:0043066	negative regulation of apoptotic process	731	1.0	1.0
4069	BP	GO:1904352	positive regulation of protein catabolic process in the vacuole	4	1.0	1.0
4070	BP	GO:0030641	regulation of cellular pH	59	1.0	1.0
4071	BP	GO:0010189	vitamin E biosynthetic process	1	1.0	1.0
4072	BP	GO:0032681	regulation of lymphotoxin A production	2	1.0	1.0
4073	BP	GO:0046634	regulation of alpha-beta T cell activation	96	1.0	1.0
4074	BP	GO:2001188	regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	6	1.0	1.0
4075	BP	GO:0050848	regulation of calcium-mediated signaling	67	1.0	1.0
4076	BP	GO:1904219	positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity	1	1.0	1.0
4077	BP	GO:0002246	wound healing involved in inflammatory response	2	1.0	1.0
4078	BP	GO:0051256	mitotic spindle midzone assembly	10	1.0	1.0
4079	BP	GO:0032526	response to retinoic acid	86	1.0	1.0
4080	BP	GO:0042692	muscle cell differentiation	73	1.0	1.0
4081	BP	GO:2000696	regulation of epithelial cell differentiation involved in kidney development	15	1.0	1.0
4082	BP	GO:0021644	vagus nerve morphogenesis	1	1.0	1.0
4083	BP	GO:0010613	positive regulation of cardiac muscle hypertrophy	21	1.0	1.0
4084	BP	GO:0060119	inner ear receptor cell development	8	1.0	1.0
4085	BP	GO:0010559	regulation of glycoprotein biosynthetic process	32	1.0	1.0
4086	BP	GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	20	1.0	1.0
4087	BP	GO:1901607	alpha-amino acid biosynthetic process	57	1.0	1.0
4088	BP	GO:0014741	negative regulation of muscle hypertrophy	25	1.0	1.0
4089	BP	GO:1990167	protein K27-linked deubiquitination	3	1.0	1.0
4090	BP	GO:0070434	positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	5	1.0	1.0
4091	BP	GO:0016444	somatic cell DNA recombination	39	1.0	1.0
4092	BP	GO:0006290	pyrimidine dimer repair	8	1.0	1.0
4093	BP	GO:0006228	UTP biosynthetic process	8	1.0	1.0
4094	BP	GO:0008078	mesodermal cell migration	4	1.0	1.0
4095	BP	GO:0006409	tRNA export from nucleus	3	1.0	1.0
4096	BP	GO:0042532	negative regulation of tyrosine phosphorylation of STAT protein	9	1.0	1.0
4097	BP	GO:0045168	cell-cell signaling involved in cell fate commitment	2	1.0	1.0
4098	BP	GO:0140039	cell-cell adhesion in response to extracellular stimulus	2	1.0	1.0
4099	BP	GO:0072592	oxygen metabolic process	3	1.0	1.0
4100	BP	GO:2000299	negative regulation of Rho-dependent protein serine/threonine kinase activity	3	1.0	1.0
4101	BP	GO:0007520	myoblast fusion	25	1.0	1.0
4102	BP	GO:0002863	positive regulation of inflammatory response to antigenic stimulus	13	1.0	1.0
4103	BP	GO:0038184	cell surface bile acid receptor signaling pathway	1	1.0	1.0
4104	BP	GO:0002874	regulation of chronic inflammatory response to antigenic stimulus	3	1.0	1.0
4105	BP	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	27	1.0	1.0
4106	BP	GO:0090076	relaxation of skeletal muscle	3	1.0	1.0
4107	BP	GO:0060879	semicircular canal fusion	1	1.0	1.0
4108	BP	GO:0021979	hypothalamus cell differentiation	2	1.0	1.0
4109	BP	GO:0060066	oviduct development	3	1.0	1.0
4110	BP	GO:0002323	natural killer cell activation involved in immune response	22	1.0	1.0
4111	BP	GO:0034110	regulation of homotypic cell-cell adhesion	27	1.0	1.0
4112	BP	GO:0048592	eye morphogenesis	41	1.0	1.0
4113	BP	GO:0021554	optic nerve development	12	1.0	1.0
4114	BP	GO:0002585	positive regulation of antigen processing and presentation of peptide antigen	2	1.0	1.0
4115	BP	GO:0097647	amylin receptor signaling pathway	6	1.0	1.0
4116	BP	GO:0071389	cellular response to mineralocorticoid stimulus	10	1.0	1.0
4117	BP	GO:2000307	regulation of tumor necrosis factor (ligand) superfamily member 11 production	3	1.0	1.0
4118	BP	GO:0048681	negative regulation of axon regeneration	10	1.0	1.0
4119	BP	GO:2000983	regulation of ATP citrate synthase activity	1	1.0	1.0
4120	BP	GO:1990440	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	11	1.0	1.0
4121	BP	GO:0002184	cytoplasmic translational termination	1	1.0	1.0
4122	BP	GO:0051583	dopamine uptake involved in synaptic transmission	5	1.0	1.0
4123	BP	GO:0006624	vacuolar protein processing	1	1.0	1.0
4124	BP	GO:0015770	sucrose transport	1	1.0	1.0
4125	BP	GO:1903850	regulation of cristae formation	3	1.0	1.0
4126	BP	GO:0019427	acetyl-CoA biosynthetic process from acetate	2	1.0	1.0
4127	BP	GO:0048865	stem cell fate commitment	4	1.0	1.0
4128	BP	GO:0090231	regulation of spindle checkpoint	19	1.0	1.0
4129	BP	GO:0002544	chronic inflammatory response	10	1.0	1.0
4130	BP	GO:0002485	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent	1	1.0	1.0
4131	BP	GO:1990134	epithelial cell apoptotic process involved in palatal shelf morphogenesis	1	1.0	1.0
4132	BP	GO:0006285	base-excision repair, AP site formation	11	1.0	1.0
4133	BP	GO:0000132	establishment of mitotic spindle orientation	29	1.0	1.0
4134	BP	GO:0015931	nucleobase-containing compound transport	154	1.0	1.0
4135	BP	GO:0060920	cardiac pacemaker cell differentiation	1	1.0	1.0
4136	BP	GO:0042026	protein refolding	21	1.0	1.0
4137	BP	GO:0032213	regulation of telomere maintenance via semi-conservative replication	2	1.0	1.0
4138	BP	GO:0070947	neutrophil-mediated killing of fungus	1	1.0	1.0
4139	BP	GO:0006911	phagocytosis, engulfment	26	1.0	1.0
4140	BP	GO:0022038	corpus callosum development	16	1.0	1.0
4141	BP	GO:0048291	isotype switching to IgG isotypes	1	1.0	1.0
4142	BP	GO:0033689	negative regulation of osteoblast proliferation	8	1.0	1.0
4143	BP	GO:0051788	response to misfolded protein	7	1.0	1.0
4144	BP	GO:0090166	Golgi disassembly	6	1.0	1.0
4145	BP	GO:0090320	regulation of chylomicron remnant clearance	1	1.0	1.0
4146	BP	GO:1903351	cellular response to dopamine	7	1.0	1.0
4147	BP	GO:0035644	phosphoanandamide dephosphorylation	1	1.0	1.0
4148	BP	GO:0014744	positive regulation of muscle adaptation	4	1.0	1.0
4149	BP	GO:0009261	ribonucleotide catabolic process	39	1.0	1.0
4150	BP	GO:0032757	positive regulation of interleukin-8 production	58	1.0	1.0
